h0	185.431	314.671
h1	180.737	307.88
h2	165.873	270.532
h3	165.09	311.275
h4	165.09	328.252
h5	169.784	321.461
h6	172.131	328.252
h7	176.043	318.066
h8	175.261	331.647
h9	176.043	297.694
h10	176.043	345.228
h11	176.825	324.856
h12	176.825	324.856
h13	176.043	328.252
h14	175.261	335.042
h15	176.043	318.066
h16	179.955	267.137
h17	188.561	277.323
h18	193.255	287.508
h19	193.255	318.066
h20	193.255	318.066
h21	192.472	304.485
h22	192.472	297.694
h23	192.472	294.299
h24	191.69	297.694
h25	197.166	287.508
h26	191.69	321.461
h27	193.255	294.299
h28	191.69	301.089
h29	191.69	297.694
h30	193.255	307.88
h31	194.037	304.485
h32	188.561	345.228
h33	186.213	338.437
h34	186.213	328.252
h35	179.172	365.6
h36	177.608	368.995
h37	176.825	352.018
h38	176.825	355.414
h39	176.825	341.833
h40	176.825	348.623
h41	176.825	348.623
h42	174.478	379.181
h43	179.172	352.018
h44	181.519	348.623
h45	181.519	358.809
h46	181.519	352.018
h47	181.519	352.018
h48	179.955	307.88
h49	181.519	318.066
h50	185.431	338.437
h51	183.866	352.018
h52	186.213	348.623
h53	183.866	348.623
h54	177.608	365.6
h55	179.172	328.252
h56	179.172	345.228
h57	183.084	328.252
h58	179.172	372.39
h59	183.084	345.228
h60	184.649	358.809
h61	188.561	362.204
h62	189.343	365.6
h63	187.778	348.623
h64	186.996	338.437
h65	185.431	314.671
h66	183.084	335.042
h67	184.649	379.181
h68	189.343	382.576
h69	192.472	382.576
h70	190.125	385.971
h71	194.819	362.204
h72	195.602	379.181
h73	195.602	372.39
h74	193.255	413.133
h75	194.819	389.366
h76	194.819	392.762
h77	194.819	382.576
h78	196.384	379.181
h79	195.602	379.181
h80	201.078	348.623
h81	202.643	348.623
h82	208.119	348.623
h83	203.425	382.576
h84	204.207	392.762
h85	207.337	382.576
h86	207.337	396.157
h87	208.119	385.971
h88	207.337	392.762
h89	207.337	372.39
h90	200.296	396.157
h91	204.207	375.785
h92	204.207	368.995
h93	204.99	399.552
h94	201.86	385.971
h95	201.86	375.785
h96	204.207	352.018
h97	204.207	348.623
h98	201.078	352.018
h99	196.384	389.366
h100	197.949	379.181
h101	200.296	358.809
h102	200.296	379.181
h103	197.949	368.995
h104	195.602	368.995
h105	197.166	345.228
h106	191.69	389.366
h107	194.037	368.995
h108	193.255	358.809
h109	190.125	368.995
h110	186.996	379.181
h111	189.343	368.995
h112	200.296	277.323
h113	201.078	273.927
h114	202.643	277.323
h115	200.296	301.089
h116	200.296	304.485
h117	203.425	301.089
h118	199.513	301.089
h119	202.643	287.508
h120	203.425	297.694
h121	209.684	287.508
h122	201.86	324.856
h123	204.99	307.88
h124	197.166	290.904
h125	195.602	294.299
h126	197.949	290.904
h127	194.819	290.904
h128	197.166	311.275
h129	197.166	321.461
h130	200.296	318.066
h131	199.513	358.809
h132	199.513	355.414
h133	200.296	355.414
h134	200.296	358.809
h135	201.86	338.437
h136	199.513	352.018
h137	199.513	338.437
h138	195.602	365.6
h139	197.949	348.623
h140	197.949	341.833
h141	197.949	348.623
h142	197.949	345.228
h143	195.602	348.623
h144	197.166	314.671
h145	197.166	318.066
h146	197.949	314.671
h147	196.384	338.437
h148	197.166	362.204
h149	197.166	345.228
h150	197.949	348.623
h151	199.513	331.647
h152	196.384	352.018
h153	196.384	338.437
h154	190.908	365.6
h155	197.949	338.437
h156	194.819	331.647
h157	194.819	328.252
h158	197.949	341.833
h159	225.33	382.576
h160	224.548	352.018
h161	224.548	348.623
h162	224.548	348.623
h163	226.113	389.366
h164	226.895	392.762
h165	225.33	389.366
h166	220.636	392.762
h167	221.419	375.785
h168	218.289	372.39
h169	224.548	372.39
h170	219.072	402.948
h171	211.248	362.204
h172	212.031	355.414
h173	211.248	362.204
h174	211.248	358.809
h175	209.684	362.204
h176	211.248	348.623
h177	212.031	348.623
h178	210.466	348.623
h179	209.684	389.366
h180	212.813	413.133
h181	219.072	399.552
h182	218.289	413.133
h183	219.072	389.366
h184	219.072	399.552
h185	219.072	392.762
h186	216.725	413.133
h187	220.636	392.762
h188	219.072	389.366
h189	215.16	399.552
h190	212.031	399.552
h191	212.031	389.366
h192	208.119	331.647
h193	213.595	338.437
h194	213.595	331.647
h195	209.684	379.181
h196	209.684	379.181
h197	212.031	365.6
h198	212.813	368.995
h199	212.813	358.809
h200	212.813	368.995
h201	213.595	362.204
h202	210.466	379.181
h203	210.466	358.809
h204	210.466	355.414
h205	210.466	358.809
h206	210.466	358.809
h207	210.466	355.414
h208	212.031	331.647
h209	210.466	338.437
h210	210.466	328.252
h211	207.337	368.995
h212	200.296	379.181
h213	201.86	348.623
h214	200.296	358.809
h215	201.86	338.437
h216	201.86	348.623
h217	204.99	328.252
h218	202.643	358.809
h219	204.99	338.437
h220	203.425	341.833
h221	202.643	348.623
h222	203.425	345.228
h223	204.207	341.833
h224	204.207	307.88
h225	204.207	307.88
h226	204.207	314.671
h227	200.296	338.437
h228	200.296	338.437
h229	203.425	341.833
h230	208.119	348.623
h231	209.684	348.623
h232	205.772	345.228
h233	208.119	328.252
h234	204.99	355.414
h235	207.337	338.437
h236	207.337	348.623
h237	207.337	358.809
h238	209.684	348.623
h239	210.466	345.228
h240	212.031	331.647
h241	210.466	335.042
h242	215.942	324.856
h243	212.031	358.809
h244	210.466	362.204
h245	210.466	358.809
h246	209.684	365.6
h247	210.466	358.809
h248	209.684	358.809
h249	212.031	341.833
h250	209.684	379.181
h251	209.684	341.833
h252	211.248	352.018
h253	211.248	348.623
h254	212.031	358.809
h255	210.466	352.018
