h0	701.344	1113.61
h1	697.128	1118.65
h2	675.205	1123.68
h3	679.421	1108.58
h4	681.951	1118.65
h5	689.539	1116.97
h6	680.264	1123.68
h7	688.696	1132.06
h8	680.264	1133.74
h9	690.383	1133.74
h10	704.717	1093.48
h11	691.226	1111.94
h12	680.264	1098.52
h13	692.069	1083.42
h14	663.401	1113.61
h15	673.519	1078.39
h16	869.138	751.29
h17	847.215	742.903
h18	839.626	761.355
h19	839.626	763.032
h20	841.313	758
h21	843.842	747.935
h22	859.019	783.161
h23	856.49	771.419
h24	856.49	773.097
h25	857.333	778.129
h26	869.138	736.194
h27	867.451	747.935
h28	864.079	763.032
h29	869.138	744.581
h30	867.451	788.194
h31	870.824	761.355
h32	835.41	930.774
h33	826.978	937.484
h34	813.487	960.968
h35	813.487	944.194
h36	811.801	937.484
h37	810.115	915.677
h38	806.742	932.452
h39	817.703	944.194
h40	816.017	950.903
h41	815.174	950.903
h42	825.292	903.935
h43	828.665	937.484
h44	826.135	944.194
h45	831.194	930.774
h46	826.978	967.677
h47	837.94	937.484
h48	832.881	924.065
h49	829.508	927.419
h50	816.017	940.839
h51	820.233	930.774
h52	816.017	915.677
h53	819.39	898.903
h54	810.958	915.677
h55	812.644	925.742
h56	811.801	914
h57	810.115	917.355
h58	810.958	892.194
h59	810.958	897.226
h60	807.585	893.871
h61	808.428	883.806
h62	805.899	907.29
h63	816.017	892.194
h64	820.233	895.548
h65	816.86	897.226
h66	816.86	897.226
h67	818.547	903.935
h68	818.547	924.065
h69	831.194	922.387
h70	834.567	927.419
h71	833.724	937.484
h72	831.194	942.516
h73	829.508	937.484
h74	836.253	900.581
h75	834.567	922.387
h76	832.881	927.419
h77	833.724	908.968
h78	834.567	967.677
h79	848.901	922.387
h80	845.529	905.613
h81	853.96	939.161
h82	851.431	952.581
h83	857.333	952.581
h84	858.176	962.645
h85	858.176	932.452
h86	853.96	969.355
h87	842.156	940.839
h88	847.215	955.935
h89	854.804	967.677
h90	894.433	930.774
h91	880.942	947.548
h92	884.315	960.968
h93	880.942	932.452
h94	862.392	974.387
h95	849.744	930.774
h96	835.41	937.484
h97	805.056	912.323
h98	822.763	964.323
h99	821.076	924.065
h100	830.351	959.29
h101	844.685	957.613
h102	842.156	976.065
h103	847.215	982.774
h104	860.706	992.839
h105	859.863	992.839
h106	869.138	942.516
h107	861.549	977.742
h108	869.981	982.774
h109	889.374	957.613
h110	874.197	1007.94
h111	888.531	981.097
h112	890.217	937.484
h113	879.256	957.613
h114	870.824	967.677
h115	869.138	952.581
h116	869.138	964.323
h117	876.726	937.484
h118	872.51	982.774
h119	883.472	971.032
h120	879.256	971.032
h121	872.51	955.935
h122	866.608	898.903
h123	848.058	908.968
h124	848.901	912.323
h125	835.41	868.71
h126	831.194	920.71
h127	848.058	877.097
h128	841.313	920.71
h129	853.96	954.258
h130	854.804	1006.26
h131	857.333	967.677
h132	848.901	971.032
h133	844.685	935.806
h134	839.626	969.355
h135	849.744	977.742
h136	842.156	967.677
h137	842.999	962.645
h138	838.783	914
h139	838.783	949.226
h140	839.626	972.71
h141	858.176	952.581
h142	837.097	979.419
h143	850.588	952.581
h144	851.431	917.355
h145	826.135	898.903
h146	805.899	912.323
h147	798.31	902.258
h148	811.801	890.516
h149	827.822	880.452
h150	816.017	902.258
h151	800.84	887.161
h152	785.662	865.355
h153	810.958	898.903
h154	798.31	830.129
h155	787.349	848.581
h156	782.29	850.258
h157	843.842	893.871
h158	838.783	947.548
h159	856.49	922.387
h160	841.313	912.323
h161	842.156	927.419
h162	842.156	957.613
h163	837.94	930.774
h164	822.763	932.452
h165	820.233	907.29
h166	807.585	922.387
h167	804.212	900.581
h168	805.899	917.355
h169	800.84	902.258
h170	821.919	882.129
h171	821.076	905.613
h172	816.86	902.258
h173	823.606	887.161
h174	820.233	932.452
h175	811.801	887.161
h176	803.369	902.258
h177	799.153	897.226
h178	792.408	935.806
h179	790.721	920.71
h180	808.428	937.484
h181	845.529	950.903
h182	869.138	1004.58
h183	884.315	1023.03
h184	889.374	1039.81
h185	871.667	1019.68
h186	853.96	942.516
h187	812.644	937.484
h188	797.467	922.387
h189	818.547	907.29
h190	820.233	957.613
h191	816.017	917.355
h192	808.428	872.065
h193	808.428	882.129
h194	798.31	900.581
h195	793.251	890.516
h196	790.721	887.161
h197	790.721	887.161
h198	785.662	902.258
h199	805.899	902.258
h200	821.076	917.355
h201	818.547	917.355
h202	821.076	870.387
h203	817.703	898.903
h204	817.703	903.935
h205	835.41	890.516
h206	826.978	952.581
h207	834.567	910.645
h208	821.076	868.71
h209	805.899	872.065
h210	802.526	897.226
h211	793.251	868.71
h212	802.526	887.161
h213	807.585	870.387
h214	799.997	897.226
h215	825.292	897.226
h216	839.626	920.71
h217	837.097	917.355
h218	838.783	862
h219	821.076	900.581
h220	829.508	890.516
h221	823.606	856.968
h222	804.212	888.839
h223	821.919	856.968
h224	808.428	880.452
h225	818.547	893.871
h226	821.919	919.032
h227	836.253	927.419
h228	835.41	947.548
h229	841.313	914
h230	829.508	932.452
h231	811.801	903.935
h232	820.233	919.032
h233	841.313	942.516
h234	854.804	919.032
h235	837.097	939.161
h236	848.058	947.548
h237	859.019	914
h238	853.117	967.677
h239	847.215	925.742
h240	842.999	932.452
h241	839.626	940.839
h242	823.606	960.968
h243	822.763	919.032
h244	810.958	942.516
h245	821.076	912.323
h246	817.703	945.871
h247	800.84	914
h248	821.076	959.29
h249	826.978	962.645
h250	815.174	885.484
h251	811.801	907.29
h252	826.135	932.452
h253	830.351	907.29
h254	829.508	959.29
h255	800.84	903.935
