1	0	0	27.5	-77.45	-39.25	236.06	1	300	0.000807502	0.000807502
2	0	0	27.5	-77.45	0	236.06	1	300	0.0007966696	0.0007966696
3	0	0	27.5	-77.45	39.25	236.06	1	300	0.0008451487	0.0008451487
4	0	0	27.5	-106.052	-19.625	236.06	2	300	0.000792517	0.000792517
5	0	0	27.5	-106.052	19.625	236.06	2	300	0.0008034576	0.0008034576
6	0	0	27.5	-134.655	0	236.06	3	300	0.0008882507	0.0008882507
7	0	0	27.5	77.45	-39.25	236.06	1	300	0.0008003155	0.0008003155
8	0	0	27.5	77.45	0	236.06	1	300	0.0008245994	0.0008245994
9	0	0	27.5	77.45	39.25	236.06	1	300	0.000809901	0.000809901
10	0	0	27.5	106.053	-19.625	236.06	2	300	0.000820137	0.000820137
11	0	0	27.5	106.053	19.625	236.06	2	300	0.00078482	0.00078482
12	0	0	27.5	134.655	0	236.06	3	300	0.000804308	0.000804308
13	1	0	27.5	-77.45	-39.25	-236.06	1	300	0.000883153	0.000883153
14	1	0	27.5	-77.45	0	-236.06	1	300	0.000901874	0.000901874
15	2	0	27.5	-77.45	39.25	-236.06	1	300	0.000881293	0.000881293
16	3	0	27.5	-106.052	-19.625	-236.06	2	300	0.0009119468	0.0009119468
17	1	0	27.5	-106.052	19.625	-236.06	2	300	0.000883137	0.000883137
18	1	0	27.5	-134.655	0	-236.06	3	300	0.000890012	0.000890012
19	1	0	27.5	77.45	-39.25	-236.06	1	300	0.000892132	0.000892132
20	2	0	27.5	77.45	0	-236.06	1	300	0.000881072	0.000881072
21	2	0	27.5	77.45	39.25	-236.06	1	300	0.000884337	0.000884337
22	3	0	27.5	106.053	-19.625	-236.06	2	300	0.000888505	0.000888505
23	1	0	27.5	106.053	19.625	-236.06	2	300	0.000892845	0.000892845
24	1	0	27.5	134.655	0	-236.06	3	300	0.000897665	0.000897665
25	3	1	27.5	-118.3	77.45	0	3	600	0.00126943	0.00126943
26	3	1	27.5	-69.7	77.45	0	1	600	0.00123783	0.00123783
27	2	1	27.5	-34.85	77.45	0	1	600	0.00127639	0.00127639
28	2	1	27.5	0	77.45	0	1	600	0.00126828	0.00126828
29	2	1	27.5	34.85	77.45	0	1	600	0.0012603	0.0012603
30	2	1	27.5	69.7	77.45	0	1	600	0.00131271	0.00131271
31	3	1	27.5	118.3	77.45	0	3	600	0.00131355	0.00131355
32	3	1	27.5	-97.2	116.7	0	3	600	0.00123794	0.00123794
33	3	1	27.5	-60.362	112.3	0	2	600	0.0012566	0.0012566
34	1	1	27.5	-17.425	107.631	0	2	600	0.00129234	0.00129234
35	1	1	27.5	17.425	107.631	0	2	600	0.00131105	0.00131105
36	1	1	27.5	60.362	112.3	0	2	600	0.00126285	0.00126285
37	1	1	27.5	97.2	116.7	0	3	600	0.00128736	0.00128736
38	1	1	27.5	-73.928	151.378	0	3	600	0.00128879	0.00128879
39	3	1	27.5	-34.85	137.812	0	3	600	0.0014062	0.0014062
40	3	1	27.5	0	147.15	0	3	600	0.00142331	0.00142331
41	3	1	27.5	34.85	137.812	0	3	600	0.00138377	0.00138377
42	1	1	27.5	73.928	151.378	0	3	600	0.00143469	0.00143469
43	1	1	27.5	-27.0595	178.438	0	3	600	0.00141457	0.00141457
44	1	1	27.5	27.0595	178.438	0	3	600	0.00137187	0.00137187
45	1	1	27.5	-118.3	-77.45	0	3	600	0.0014929	0.0014929
46	1	1	27.5	-69.7	-77.45	0	1	600	0.00145672	0.00145672
47	3	1	27.5	-34.85	-77.45	0	1	600	0.00143753	0.00143753
48	3	1	27.5	0	-77.45	0	1	600	0.00140445	0.00140445
49	3	1	27.5	34.85	-77.45	0	1	600	0.00144939	0.00144939
50	3	1	27.5	69.7	-77.45	0	1	600	0.00141155	0.00141155
51	3	1	27.5	118.3	-77.45	0	3	600	0.00140412	0.00140412
52	3	1	27.5	-97.2	-116.7	0	3	600	0.00145083	0.00145083
53	2	1	27.5	-60.362	-112.3	0	2	600	0.000539188	0.000539188
